Date,Asset Value
2023-01-03,99900.09549923654
2023-01-04,101838.59410758162
2023-01-05,101277.20633938805
2023-01-06,104002.35944690261
2023-01-09,103525.76391804706
2023-01-10,103850.5126531033
2023-01-11,104950.36801048942
2023-01-12,106783.08423412926
2023-01-13,107020.4352345909
2023-01-17,105718.10668421755
2023-01-18,104101.54645127081
2023-01-19,102800.55026386608
2023-01-20,104170.19368357875
2023-01-23,105696.24976858575
2023-01-24,105394.58126907922
2023-01-25,105617.07614223455
2023-01-26,106432.77606881488
2023-01-27,106494.2108463721
2023-01-30,105366.17002847268
2023-01-31,106932.91249339416
2023-02-01,107862.22726051434
2023-02-02,108727.79652136526
2023-02-03,107279.09079712303
2023-02-06,106840.59197268932
2023-02-07,108995.25890777515
2023-02-08,108333.92195000293
2023-02-09,107110.0278506125
2023-02-10,107135.10123951995
2023-02-13,108555.35045351149
2023-02-14,108946.11712794859
2023-02-15,109074.0576853803
2023-02-16,106663.95579370711
2023-02-17,106394.24426193336
2023-02-21,103436.41345553691
2023-02-22,103187.46684320181
2023-02-23,103760.49241895959
2023-02-24,101444.83133529112
2023-02-27,101994.45391128105
2023-02-28,101760.62383825555
2023-03-01,101954.3535244769
2023-03-02,103279.31041327784
2023-03-03,105172.0515479985
2023-03-06,104463.58408603295
2023-03-07,102608.09746107673
2023-03-08,102522.495172268
2023-03-09,100233.05546628898
2023-03-10,99630.65120336649
2023-03-13,99270.83195607092
2023-03-14,100897.49064886788
2023-03-15,99227.93857835147
2023-03-16,101260.0113341163
2023-03-17,100336.03507163885
2023-03-20,101126.15472486625
2023-03-21,102097.764505873
2023-03-22,99455.12781130943
2023-03-23,100289.2795366287
2023-03-24,100055.11019690761
2023-03-27,100743.73056055722
2023-03-28,101233.04762791406
2023-03-29,102955.02975491084
2023-03-30,103802.85330203363
2023-03-31,105268.30297620062
2023-04-03,105603.6458261925
2023-04-04,105141.42613826328
2023-04-05,104250.66406783563
2023-04-06,104649.50840772076
2023-04-10,104845.7311355733
2023-04-11,105032.829559791
2023-04-12,104645.92516631371
2023-04-13,106078.10156247507
2023-04-14,104206.86959288675
2023-04-17,105199.39426701005
2023-04-18,105634.11335890455
2023-04-19,105292.83747120762
2023-04-20,104490.22576801684
2023-04-21,104430.01239638202
2023-04-24,104434.08002807123
2023-04-25,102755.25322208238
2023-04-26,103256.23017484453
2023-04-27,105546.04676502047
2023-04-28,106577.11022783657
2023-05-01,105957.27270402735
2023-05-02,104848.07441308342
2023-05-03,104271.15727179416
2023-05-04,102624.6775552434
2023-05-05,104173.24321970038
2023-05-08,104153.83104917068
2023-05-09,104334.96395152848
2023-05-10,104077.82825852396
2023-05-11,102617.95824893336
2023-05-12,102119.83789068638
2023-05-15,102666.34281302305
2023-05-16,101525.85593908392
2023-05-17,103496.62254322482
2023-05-18,104129.36780379922
2023-05-19,103120.75546178983
2023-05-22,103309.94695227237
2023-05-23,101885.23650863631
2023-05-24,100558.60419530718
2023-05-25,101042.86031848415
2023-05-26,102348.64527413828
2023-05-30,102300.15984933359
2023-05-31,101981.76715968038
2023-06-01,102678.18429238447
2023-06-02,105280.86892993115
2023-06-05,103824.67339210564
2023-06-06,104004.72694220828
2023-06-07,104877.53638359279
2023-06-08,105981.25799827882
2023-06-09,105727.24157870865
2023-06-12,107303.350167556
2023-06-13,107648.97607602207
2023-06-14,107404.12265085068
2023-06-15,108791.00503543089
2023-06-16,108479.67819202068
2023-06-20,106004.43484286584
2023-06-21,105222.65997158141
2023-06-22,104243.27379516266
2023-06-23,103732.67836143634
2023-06-26,103689.62615802333
2023-06-27,104771.45751545139
2023-06-28,104949.21338086635
2023-06-29,105552.03191100943
2023-06-30,105914.82112799554
2023-07-03,106059.0874582823
2023-07-05,105768.90156341228
2023-07-06,104913.91310920943
2023-07-07,104527.06541038546
2023-07-10,104598.50980107585
2023-07-11,106465.23907309251
2023-07-12,106711.02232644304
2023-07-13,107123.70791372456
2023-07-14,106225.27024018373
2023-07-17,105612.6164753362
2023-07-18,106823.74716494603
2023-07-19,106595.10183159732
2023-07-20,107037.92735738205
2023-07-21,106778.24159672366
2023-07-24,107601.73964002765
2023-07-25,107875.6551201883
2023-07-26,110681.0425070491
2023-07-27,109953.58619142139
2023-07-28,111637.76407842044
2023-07-31,112009.4571269025
2023-08-01,111715.28854225177
2023-08-02,109191.46824118168
2023-08-03,109046.53107060977
2023-08-04,108951.95339725999
2023-08-07,110500.52289028508
2023-08-08,110088.10340409933
2023-08-09,109481.0871177015
2023-08-10,110167.29308934898
2023-08-11,109446.5361398628
2023-08-14,109640.77128078639
2023-08-15,107900.75482909218
2023-08-16,107112.53625008253
2023-08-17,105772.23575699955
2023-08-18,105906.16642277777
2023-08-21,105983.98182380342
2023-08-22,106106.97866223917
2023-08-23,106262.14085208662
2023-08-24,103277.760957219
2023-08-25,104724.76535403648
2023-08-28,106154.52721205256
2023-08-29,107096.15023077166
2023-08-30,107208.38304748865
2023-08-31,106421.03530284586
2023-09-01,106294.08635906248
2023-09-05,105997.53108989523
2023-09-06,105014.81871494836
2023-09-07,104412.92880129363
2023-09-08,104069.84335161833
2023-09-11,104579.15807347142
2023-09-12,104495.94173643623
2023-09-13,103836.35426033098
2023-09-14,104768.02370935652
2023-09-15,103942.019362204
2023-09-18,103185.65034098545
2023-09-19,102300.26224294724
2023-09-20,101217.63633279678
2023-09-21,100183.2435178797
2023-09-22,99242.55678098011
2023-09-25,99223.31985636635
2023-09-26,97914.70174397646
2023-09-27,97743.54108721309
2023-09-28,97233.67443871188
2023-09-29,97873.22920402019
2023-10-02,97035.38282997058
2023-10-03,96002.13796193701
2023-10-04,95974.7345682409
2023-10-05,96138.04618581537
2023-10-06,97185.66441695418
2023-10-09,97855.64536942261
2023-10-10,99024.30649569094
2023-10-11,99621.18165202397
2023-10-12,98447.59185872402
2023-10-13,97247.42082466226
2023-10-16,98216.65186236496
2023-10-17,98371.27557212993
2023-10-18,97562.01467672377
2023-10-19,96732.27185172796
2023-10-20,95625.87329505476
2023-10-23,95734.56806223386
2023-10-24,96852.84787814361
2023-10-25,95888.2293914519
2023-10-26,95073.41831689455
2023-10-27,94743.19060602938
2023-10-30,96645.50826837179
2023-10-31,98034.19012152712
2023-11-01,98812.89278880149
2023-11-02,100530.35613203522
2023-11-03,102145.54939456137
2023-11-06,101758.90409188194
2023-11-07,101977.92657072881
2023-11-08,102031.87696042047
2023-11-09,102556.73591304768
2023-11-10,103633.39807221503
2023-11-13,104733.82617119775
2023-11-14,106489.01135036112
2023-11-15,107571.85141775708
2023-11-16,107740.87913010691
2023-11-17,107663.11470115712
2023-11-20,109898.20837758562
2023-11-21,109454.03720945943
2023-11-22,110392.94034604101
2023-11-24,110658.15278989795
2023-11-27,110547.27564896375
2023-11-28,111137.69443553199
2023-11-29,111512.31144537366
2023-11-30,112965.0939301603
2023-12-01,113582.45124966452
2023-12-04,113718.6058946939
2023-12-05,113290.535634082
2023-12-06,113613.03005900173
2023-12-07,114034.2390137419
2023-12-08,115653.84793080736
2023-12-11,116287.55169245566
2023-12-12,116438.10226772886
2023-12-13,117682.03499790544
2023-12-14,119211.81790043536
2023-12-15,120724.02377748414
2023-12-18,120008.02501349607
2023-12-19,121131.28147002224
2023-12-20,119383.49472911445
2023-12-21,120468.1060029056
2023-12-22,119480.6253479856
2023-12-26,120283.79408875447
2023-12-27,120194.0038415014
2023-12-28,120228.19494903753
2023-12-29,120237.48193622011
